i,x,probability
253,[1 0 0 0 0 1 0 1 1 0],0.0017289234703976467
254,[1 0 0 0 0 1 0 1 0 1],0.0013069938663390842
255,[1 0 0 0 0 1 0 0 1 1],0.0017870525387199126
256,[1 0 0 0 0 0 1 1 1 0],0.0018685931837214198
257,[1 0 0 0 0 0 1 1 0 1],0.001412578330748908
258,[1 0 0 0 0 0 1 0 1 1],0.0019314181627924029
259,[1 0 0 0 0 0 0 1 1 1],0.0022814886837552377
260,[0 1 1 1 1 0 0 0 0 0],0.0007485345768781099
261,[0 1 1 1 0 1 0 0 0 0],0.0007666192017395596
262,[0 1 1 1 0 0 1 0 0 0],0.0008285499268229767
263,[0 1 1 1 0 0 0 1 0 0],0.000978725021017643
264,[0 1 1 1 0 0 0 0 1 0],0.0013382105903965373
265,[0 1 1 1 0 0 0 0 0 1],0.0010116312627279028
266,[0 1 1 0 1 1 0 0 0 0],0.0006208722881572876
267,[0 1 1 0 1 0 1 0 0 0],0.0006710289642521864
268,[0 1 1 0 1 0 0 1 0 0],0.0007926533041399765
269,[0 1 1 0 1 0 0 0 1 0],0.0010837947567847075
270,[0 1 1 0 1 0 0 0 0 1],0.0008193035283176987
271,[0 1 1 0 0 1 1 0 0 0],0.0006872410504597202
272,[0 1 1 0 0 1 0 1 0 0],0.0008118038391898683
273,[0 1 1 0 0 1 0 0 1 0],0.0011099792807982842
274,[0 1 1 0 0 1 0 0 0 1],0.0008390979338334515
275,[0 1 1 0 0 0 1 1 0 0],0.0008773847694254379
276,[0 1 1 0 0 0 1 0 1 0],0.0011996480779421902
277,[0 1 1 0 0 0 1 0 0 1],0.0009068837958890655
278,[0 1 1 0 0 0 0 1 1 0],0.0014170849001216576
279,[0 1 1 0 0 0 0 1 0 1],0.001071256943556188
280,[0 1 1 0 0 0 0 0 1 1],0.0014647294757133573
281,[0 1 0 1 1 1 0 0 0 0],0.0005685378789128315
282,[0 1 0 1 1 0 1 0 0 0],0.0006144667612034962
283,[0 1 0 1 1 0 0 1 0 0],0.0007258391731196485
284,[0 1 0 1 1 0 0 0 1 0],0.0009924398043726624
285,[0 1 0 1 1 0 0 0 0 1],0.0007502430033687371
286,[0 1 0 1 0 1 1 0 0 0],0.0006293123023574415
287,[0 1 0 1 0 1 0 1 0 0],0.0007433754761323432
288,[0 1 0 1 0 1 0 0 1 0],0.0010164171891375784
289,[0 1 0 1 0 1 0 0 0 1],0.0007683689038814937
290,[0 1 0 1 0 0 1 1 0 0],0.0008034284752506022
291,[0 1 0 1 0 0 1 0 1 0],0.0010985276468037871
292,[0 1 0 1 0 0 1 0 0 1],0.0008304409772667587
293,[0 1 0 1 0 0 0 1 1 0],0.0012976363395856168
294,[0 1 0 1 0 0 0 1 0 1],0.0009809588253128561
295,[0 1 0 1 0 0 0 0 1 1],0.0013412648707107563
296,[0 1 0 0 1 1 1 0 0 0],0.0005096696876931787
297,[0 1 0 0 1 1 0 1 0 0],0.0006020475769182446
298,[0 1 0 0 1 1 0 0 1 0],0.000823179571435566
299,[0 1 0 0 1 1 0 0 0 1],0.0006222893431566811
300,[0 1 0 0 1 0 1 1 0 0],0.0006506835136240512
301,[0 1 0 0 1 0 1 0 1 0],0.0008896794811915187
302,[0 1 0 0 1 0 1 0 0 1],0.0006725604949174599
303,[0 1 0 0 1 0 0 1 1 0],0.001050934338099549
304,[0 1 0 0 1 0 0 1 0 1],0.0007944624255146009
305,[0 1 0 0 1 0 0 0 1 1],0.0010862683681983792
306,[0 1 0 0 0 1 1 1 0 0],0.0006664040529430212
307,[0 1 0 0 0 1 1 0 1 0],0.0009111741725007457
308,[0 1 0 0 0 1 1 0 0 1],0.0006888095829661925
309,[0 1 0 0 0 1 0 1 1 0],0.0010763249531033515
310,[0 1 0 0 0 1 0 1 0 1],0.0008136566690081632
311,[0 1 0 0 0 1 0 0 1 1],0.0011125126547611435
312,[0 1 0 0 0 0 1 1 1 0],0.0011632750120371877
313,[0 1 0 0 0 0 1 1 0 1],0.000879387278633243
314,[0 1 0 0 0 0 1 0 1 1],0.0012023861085143166
315,[0 1 0 0 0 0 0 1 1 1],0.0014203192001227781
316,[0 0 1 1 1 1 0 0 0 0],0.0008786612942810339
317,[0 0 1 1 1 0 1 0 0 0],0.0009496432510779427
318,[0 0 1 1 1 0 0 1 0 0],0.0011217665716710646
319,[0 0 1 1 1 0 0 0 1 0],0.0015337912834824466
320,[0 0 1 1 1 0 0 0 0 1],0.0011594820904911685
321,[0 0 1 1 0 1 1 0 0 0],0.0009725866694295424
322,[0 0 1 1 0 1 0 1 0 0],0.0011488684962279703
323,[0 0 1 1 0 1 0 0 1 0],0.0015708477413059819
324,[0 0 1 1 0 1 0 0 0 1],0.0011874952234683467
325,[0 0 1 1 0 0 1 1 0 0],0.0012416789278417934
326,[0 0 1 1 0 0 1 0 1 0],0.001697747432044197
327,[0 0 1 1 0 0 1 0 0 1],0.0012834260846515933
328,[0 0 1 1 0 0 0 1 1 0],0.002005465014620803
329,[0 0 1 1 0 0 0 1 0 1],0.001516047713010779
330,[0 0 1 1 0 0 0 0 1 1],0.002072891835326751
331,[0 0 1 0 1 1 1 0 0 0],0.0007876819541041698
332,[0 0 1 0 1 1 0 1 0 0],0.0009304497075292516
333,[0 0 1 0 1 1 0 0 1 0],0.0012722037607175469
334,[0 0 1 0 1 1 0 0 0 1],0.0009617328588921982
335,[0 0 1 0 1 0 1 1 0 0],0.001005615350276244
336,[0 0 1 0 1 0 1 0 1 0],0.0013749777339969879
337,[0 0 1 0 1 0 1 0 0 1],0.001039425686247149
338,[0 0 1 0 1 0 0 1 1 0],0.0016241931452038053
339,[0 0 1 0 1 0 0 1 0 1],0.0012278221187217264
340,[0 0 1 0 1 0 0 0 1 1],0.0016788010187867774
341,[0 0 1 0 0 1 1 1 0 0],0.0010299110567491626
342,[0 0 1 0 0 1 1 0 1 0],0.0014081972502094373
343,[0 0 1 0 0 1 1 0 0 1],0.001064538251768882
344,[0 0 1 0 0 1 0 1 1 0],0.0016634337155673725
345,[0 0 1 0 0 1 0 1 0 1],0.0012574863494728044
346,[0 0 1 0 0 1 0 0 1 1],0.0017193609175270622
347,[0 0 1 0 0 0 1 1 1 0],0.0017978128909122237
348,[0 0 1 0 0 0 1 1 0 1],0.001359071388340389
349,[0 0 1 0 0 0 1 0 1 1],0.001858258127590312
350,[0 0 1 0 0 0 0 1 1 1],0.002195068355090944
351,[0 0 0 1 1 1 1 0 0 0],0.0007212868668585987
352,[0 0 0 1 1 1 0 1 0 0],0.0008520204770674721
353,[0 0 0 1 1 1 0 0 1 0],0.0011649674843919697
354,[0 0 0 1 1 1 0 0 0 1],0.0008806667169800079
355,[0 0 0 1 1 0 1 1 0 0],0.0009208502765441534
356,[0 0 0 1 1 0 1 0 1 0],0.0012590784600149225
357,[0 0 0 1 1 0 1 0 0 1],0.0009518106802614455
358,[0 0 0 1 1 0 0 1 1 0],0.0014872870690678982
359,[0 0 0 1 1 0 0 1 0 1],0.0011243268484926589
360,[0 0 0 1 1 0 0 0 1 1],0.0015372919496383418
361,[0 0 0 1 0 1 1 1 0 0],0.0009430980554968884
362,[0 0 0 1 0 1 1 0 1 0],0.001289497845202802
363,[0 0 0 1 0 1 1 0 0 1],0.0009748064637874915
364,[0 0 0 1 0 1 0 1 1 0],0.0015232199832394201
365,[0 0 0 1 0 1 0 1 0 1],0.0011514906294384205
366,[0 0 0 1 0 1 0 0 1 1],0.0015744329836940908
367,[0 0 0 1 0 0 1 1 1 0],0.001646272103261344
368,[0 0 0 1 0 0 1 1 0 1],0.0012445128880070348
369,[0 0 0 1 0 0 1 0 1 1],0.001701622305399273
370,[0 0 0 1 0 0 0 1 1 1],0.002010042210735501
371,[0 0 0 0 1 1 1 1 0 0],0.000763799610477231
372,[0 0 0 0 1 1 1 0 1 0],0.0010443431052969427
373,[0 0 0 0 1 1 1 0 0 1],0.0007894797290609297
374,[0 0 0 0 1 1 0 1 1 0],0.001233630822466734
375,[0 0 0 0 1 1 0 1 0 1],0.000932573330108143
376,[0 0 0 0 1 1 0 0 1 1],0.0012751073895857685
377,[0 0 0 0 1 0 1 1 1 0],0.0013332887114776745
378,[0 0 0 0 1 0 1 1 0 1],0.0010079105280233539
379,[0 0 0 0 1 0 1 0 1 1],0.0013781159302237807
380,[0 0 0 0 1 0 0 1 1 1],0.001627900141087327
381,[0 0 0 0 0 1 1 1 1 0],0.0013655010192639657
382,[0 0 0 0 0 1 1 1 0 1],0.0010322616860810475
383,[0 0 0 0 0 1 1 0 1 1],0.0014114112653806797
384,[0 0 0 0 0 1 0 1 1 1],0.0016672302726174553
385,[0 0 0 0 0 0 1 1 1 1],0.0018019161498168887
386,[1 1 1 1 1 0 0 0 0 0],0.00057820067658454
387,[1 1 1 1 0 1 0 0 0 0],0.0005921700277056046
388,[1 1 1 1 0 0 1 0 0 0],0.0006400080144208579
389,[1 1 1 1 0 0 0 1 0 0],0.0007560097914284719
390,[1 1 1 1 0 0 0 0 1 0],0.0010336920867529563
391,[1 1 1 1 0 0 0 0 0 1],0.0007814280043052631
392,[1 1 1 0 1 1 0 0 0 0],0.0004795887700770732
393,[1 1 1 0 1 0 1 0 0 0],0.0005183319690542723
394,[1 1 1 0 1 0 0 1 0 0],0.0006122799011665915
395,[1 1 1 0 1 0 0 0 1 0],0.0008371702270124224
396,[1 1 1 0 1 0 0 0 0 1],0.0006328656938963746
397,[1 1 1 0 0 1 1 0 0 0],0.0005308548898432332
398,[1 1 1 0 0 1 0 1 0 0],0.0006270726076959072
399,[1 1 1 0 0 1 0 0 1 0],0.000857396292672392
400,[1 1 1 0 0 1 0 0 0 1],0.0006481557539888968
401,[1 1 1 0 0 0 1 1 0 0],0.0006777301716943497
402,[1 1 1 0 0 0 1 0 1 0],0.0009266603731553046
403,[1 1 1 0 0 0 1 0 0 1],0.0007005165032636823
404,[1 1 1 0 0 0 0 1 1 0],0.0010946180354758693
405,[1 1 1 0 0 0 0 1 0 1],0.000827485474543331
406,[1 1 1 0 0 0 0 0 1 1],0.0011314207787206745
407,[1 1 0 1 1 1 0 0 0 0],0.0004391633952600535
408,[1 1 0 1 1 0 1 0 0 0],0.00047464086234780083
409,[1 1 0 1 1 0 0 1 0 0],0.000560669759224341
410,[1 1 0 1 1 0 0 0 1 0],0.0007666036868342866
411,[1 1 0 1 1 0 0 0 0 1],0.0005795203395410535
412,[1 1 0 1 0 1 1 0 0 0],0.00048610820427778193
413,[1 1 0 1 0 1 0 1 0 0],0.0005742155626914565
414,[1 1 0 1 0 1 0 0 1 0],0.0007851248621040026
415,[1 1 0 1 0 1 0 0 0 1],0.0005935215737711275
416,[1 1 0 1 0 0 1 1 0 0],0.0006206031121696985
417,[1 1 0 1 0 0 1 0 1 0],0.0008485505523042817
418,[1 1 0 1 0 0 1 0 0 1],0.0006414687440649184
419,[1 1 0 1 0 0 0 1 1 0],0.0010023507700049322
420,[1 1 0 1 0 0 0 1 0 1],0.0007577352790609023
421,[1 1 0 1 0 0 0 0 1 1],0.0010360513457621067
422,[1 1 0 0 1 1 1 0 0 0],0.0003936910429547387
423,[1 1 0 0 1 1 0 1 0 0],0.00046504774403614016
424,[1 1 0 0 1 1 0 0 1 0],0.0006358597182506919
425,[1 1 0 0 1 1 0 0 0 1],0.0004806833650159254
